sku,name,category,quantity,shelf_life_days,expiry_date,seasonality_tag,last_sold_date
1062,Trench Coat,Apparel,40,365,2026-01-25,Winter,2025-03-02
1063,Body Lotion,Personal Care,80,365,2025-10-15,Summer,2025-07-05
1064,Pineapple Juice,Beverages,95,90,2025-10-13,All,2025-09-16
1065,Art Pad,Stationery,230,730,2027-10-15,BackToSchool,2025-09-30
1066,LED Strip,Decor,75,365,2025-12-35,Holiday,2025-01-09
1067,Hand Cream,Personal Care,530,365,2026-03-16,All,2025-08-30
1068,Flip Sandals,Apparel,90,365,2026-05-16,Summer,2025-07-25
1069,Green Tea,Beverages,55,180,2025-12-16,Winter,2024-12-25
1070,Surface Cleaner,Personal Care,170,365,2026-01-16,All,2025-09-19
1071,Energy Bar,Snacks,160,180,2025-11-04,Summer,2025-08-17
1072,Peacoat,Apparel,45,365,2026-01-30,Winter,2025-03-07
1073,Face Serum,Personal Care,90,365,2025-10-20,Summer,2025-07-10
1074,Tomato Juice,Beverages,100,90,2025-10-18,All,2025-09-21
1075,Sketch Pad,Stationery,240,730,2027-10-22,BackToSchool,2025-10-05
1076,Table Light,Decor,80,365,2025-12-40,Holiday,2025-01-14
1077,Shower Gel,Personal Care,540,365,2026-03-21,All,2025-09-05
1078,Beach Sandals,Apparel,95,365,2026-05-21,Summer,2025-07-30
1079,Herbal Tea,Beverages,60,180,2025-12-21,Winter,2024-12-30
1080,Glass Cleaner,Personal Care,180,365,2026-01-21,All,2025-09-24
1081,Protein Cookie,Snacks,170,180,2025-11-09,Summer,2025-08-21
1082,Winter Boots,Apparel,55,365,2026-02-04,Winter,2025-03-12
1083,Sunblock,Personal Care,100,365,2025-10-25,Summer,2025-07-15
1084,Carrot Juice,Beverages,105,90,2025-10-23,All,2025-09-26
1085,Drawing Book,Stationery,250,730,2027-10-29,BackToSchool,2025-10-10
1086,Ceiling Light,Decor,85,365,2025-12-45,Holiday,2025-01-19
1087,Hand Soap,Personal Care,550,365,2026-03-26,All,2025-09-10
1088,Pool Slippers,Apparel,100,365,2026-05-26,Summer,2025-08-05
1089,Black Tea,Beverages,65,180,2025-12-26,Winter,2025-01-04
1090,Floor Cleaner,Personal Care,190,365,2026-01-26,All,2025-09-29
1091,Snack Mix,Snacks,180,180,2025-11-14,Summer,2025-08-25
1092,Overcoat,Apparel,60,365,2026-02-09,Winter,2025-03-17
1093,Face Pack,Personal Care,110,365,2025-10-30,Summer,2025-07-20
1094,Mango Juice,Beverages,110,90,2025-10-28,All,2025-10-01
1095,Art Journal,Stationery,260,730,2027-11-05,BackToSchool,2025-10-15
1096,Wall Light,Decor,90,365,2025-12-50,Holiday,2025-01-24
1097,Body Butter,Personal Care,560,365,2026-03-31,All,2025-09-15
1098,Travel Sandals,Apparel,105,365,2026-05-31,Summer,2025-08-10
1099,Oolong Tea,Beverages,70,180,2025-12-31,Winter,2025-01-09
1100,Multipurpose Cleaner,Personal Care,200,365,2026-02-01,All,2025-10-04
